timestamp,angle
0.007,0.66
0.023,0.56
0.027,0.49
0.039,0.57
0.047,0.47
0.057,0.48
0.070,0.57
0.077,0.64
0.087,0.64
0.097,0.58
0.107,0.57
0.120,0.56
0.127,0.57
0.137,0.51
0.147,0.53
0.157,0.57
0.170,0.63
0.178,0.52
0.188,0.53
0.198,0.62
0.208,0.54
0.220,0.59
0.228,0.59
0.238,0.57
0.248,0.57
0.258,0.60
0.270,0.61
0.278,0.54
0.288,0.53
0.298,0.49
0.308,0.56
0.321,0.50
0.328,0.53
0.338,0.52
0.349,0.52
0.359,0.62
0.371,0.56
0.379,0.55
0.389,0.65
0.399,0.59
0.409,0.60
0.420,0.59
0.429,0.56
0.439,0.55
0.449,0.53
0.459,0.61
0.472,0.62
0.479,0.54
0.489,0.55
0.499,0.58
0.510,0.60
0.521,0.56
0.530,0.47
0.540,0.51
0.550,0.58
0.559,0.58
0.570,0.53
0.580,0.62
0.590,0.59
0.600,0.58
0.610,0.52
0.621,0.60
0.630,0.60
0.640,0.54
0.655,0.55
0.660,0.55
0.670,0.58
0.680,0.53
0.691,0.55
0.705,0.62
0.711,0.63
0.721,0.52
0.731,0.56
0.741,0.58
0.752,0.58
0.761,0.59
0.771,0.61
0.781,0.56
0.791,0.60
0.805,0.52
0.811,0.57
0.822,0.56
0.831,0.57
0.841,0.54
0.855,0.53
0.861,0.58
0.872,0.57
0.881,0.63
0.892,0.61
0.905,0.56
0.912,0.57
0.922,0.54
0.932,0.56
0.942,0.62
0.956,0.66
0.962,0.56
0.972,0.63
0.982,0.61
0.992,0.58
1.005,0.61
1.014,0.62
1.022,0.59
1.032,0.60
1.042,0.60
1.055,0.58
1.063,0.54
1.073,0.56
1.082,0.62
1.093,0.62
1.105,0.57
1.113,0.63
1.123,0.60
1.133,0.63
1.143,0.58
1.155,0.55
1.163,0.55
1.173,0.53
1.183,0.56
1.193,0.63
1.206,0.57
1.213,0.58
1.223,0.58
1.233,0.53
1.243,0.51
1.255,0.54
1.264,0.54
1.274,0.57
1.284,0.60
1.294,0.57
1.305,0.52
1.314,0.51
1.324,0.55
1.334,0.54
1.344,0.62
1.356,0.60
1.364,0.60
1.374,0.60
1.389,0.47
1.394,0.56
1.406,0.55
1.414,0.59
1.425,0.59
1.439,0.56
1.445,0.58
1.456,0.59
1.465,0.56
1.475,0.66
1.490,0.59
1.495,0.57
1.505,0.55
1.515,0.59
1.525,0.62
1.539,0.59
1.545,0.60
1.555,0.61
1.565,0.57
1.576,0.54
1.589,0.57
1.595,0.54
1.606,0.58
1.615,0.58
1.626,0.56
1.639,0.55
1.646,0.60
1.656,0.54
1.666,0.52
1.676,0.51
1.689,0.63
1.696,0.59
1.706,0.57
1.716,0.57
1.726,0.60
1.739,0.62
1.746,0.56
1.756,0.54
1.767,0.48
1.776,0.51
1.787,0.55
1.796,0.61
1.806,0.54
1.816,0.61
1.827,0.59
1.840,0.60
1.847,0.64
1.857,0.56
1.867,0.60
1.877,0.57
1.888,0.55
1.898,0.54
1.907,0.62
1.917,0.52
1.927,0.60
1.940,0.60
1.947,0.57
1.958,0.61
1.968,0.56
1.978,0.55
1.990,0.55
1.998,0.55
2.008,0.54
2.018,0.56
2.028,0.60
2.040,0.60
2.048,0.61
2.058,0.59
2.068,0.60
2.078,0.55
2.090,0.53
2.098,0.55
2.108,0.56
2.123,0.62
2.129,0.59
2.140,0.56
2.149,0.56
2.159,0.55
2.173,0.57
2.179,0.54
2.190,0.51
2.199,0.56
2.209,0.55
2.223,0.61
2.229,0.65
2.240,0.59
2.249,0.60
2.259,0.58
2.273,0.54
2.279,0.55
2.290,0.59
2.299,0.55
2.310,0.52
2.322,0.58
2.330,0.61
2.340,0.56
2.350,0.52
2.360,0.60
2.374,0.52
2.380,0.55
2.391,0.55
2.400,0.56
2.410,0.55
2.423,0.61
2.430,0.51
2.440,0.61
2.450,0.58
2.460,0.59
2.474,0.60
2.481,0.62
2.491,0.52
2.501,0.53
2.512,0.61
2.523,0.53
2.531,0.59
2.541,0.53
2.551,0.56
2.561,0.58
2.574,0.57
2.581,0.51
2.591,0.56
2.601,0.59
2.611,0.56
2.623,0.61
2.631,0.59
2.642,0.53
2.651,0.54
2.662,0.55
2.674,0.57
2.682,0.56
2.692,0.61
2.702,0.62
2.712,0.61
2.724,0.45
2.732,0.53
2.742,0.61
2.752,0.55
2.762,0.54
2.774,0.58
2.782,0.54
2.792,0.53
2.802,0.57
2.812,0.57
2.822,0.53
2.832,0.58
2.842,0.57
2.857,0.52
2.863,0.58
2.875,0.54
2.883,0.57
2.893,0.49
2.908,0.50
2.913,0.60
2.925,0.54
2.933,0.56
2.943,0.61
2.957,0.51
2.963,0.55
2.975,0.56
2.983,0.59
2.993,0.55
3.008,0.61
3.014,0.56
3.024,0.61
3.034,0.52
3.044,0.56
3.057,0.59
3.064,0.54
3.075,0.52
3.084,0.57
3.094,0.64
3.108,0.57
3.114,0.56
3.124,0.61
3.134,0.62
3.144,0.62
3.158,0.54
3.164,0.58
3.175,0.58
3.184,0.60
3.195,0.54
3.208,0.56
3.215,0.62
3.225,0.58
3.235,0.55
3.245,0.52
3.258,0.56
3.265,0.60
3.275,0.54
3.285,0.55
3.295,0.59
3.308,0.58
3.315,0.53
3.325,0.60
3.335,0.53
3.345,0.60
3.359,0.56
3.365,0.59
3.376,0.63
3.385,0.58
3.396,0.52
3.408,0.58
3.416,0.61
3.426,0.57
3.436,0.52
3.446,0.61
3.459,0.64
3.466,0.62
3.476,0.60
3.486,0.55
3.496,0.52
3.509,0.57
3.516,0.58
3.526,0.57
3.542,0.55
3.547,0.56
3.557,0.58
3.566,0.51
3.577,0.49
3.592,0.62
3.597,0.58
3.610,0.52
3.617,0.52
3.627,0.56
3.642,0.58
3.647,0.61
3.659,0.54
3.667,0.53
3.677,0.56
3.693,0.55
3.697,0.59
3.708,0.62
3.717,0.64
3.728,0.63
3.742,0.59
3.748,0.49
3.759,0.55
3.768,0.55
3.778,0.57
3.791,0.60
3.798,0.60
3.808,0.62
3.818,0.55
3.828,0.63
3.840,0.55
3.848,0.56
3.858,0.57
3.868,0.47
3.878,0.57
3.892,0.61
3.898,0.56
3.908,0.54
3.919,0.55
3.928,0.56
3.942,0.58
3.949,0.64
3.959,0.57
3.969,0.60
3.979,0.54
3.993,0.56
3.999,0.60
4.009,0.55
4.019,0.60
4.029,0.52
4.042,0.54
4.049,0.62
4.059,0.60
4.069,0.53
4.079,0.54
4.092,0.49
4.100,0.59
4.110,0.58
4.120,0.57
4.130,0.58
4.142,0.56
4.150,0.63
4.160,0.57
4.170,0.52
4.180,0.53
4.192,0.57
4.200,0.60
4.210,0.58
4.220,0.51
4.230,0.55
4.242,0.55
4.250,0.52
4.261,0.56
4.270,0.59
4.281,0.56
4.292,0.58
4.301,0.63
4.311,0.52
4.326,0.63
4.331,0.60
4.343,0.57
4.351,0.52
4.361,0.54
4.376,0.58
4.381,0.55
4.393,0.63
4.401,0.59
4.411,0.53
4.426,0.59
4.432,0.54
4.443,0.54
4.452,0.58
4.462,0.56
4.476,0.51
4.482,0.54
4.493,0.58
4.502,0.54
4.512,0.54
4.526,0.51
4.533,0.56
4.542,0.56
4.552,0.55
4.562,0.54
4.576,0.55
4.582,0.57
4.593,0.49
4.602,0.49
4.612,0.53
4.626,0.49
4.633,0.59
4.643,0.59
4.653,0.54
4.663,0.60
4.677,0.54
4.683,0.52
4.693,0.61
4.703,0.58
4.713,0.53
4.726,0.60
4.733,0.56
4.743,0.62
4.753,0.55
4.763,0.60
4.777,0.56
4.783,0.54
4.794,0.54
4.803,0.60
4.814,0.56
4.826,0.54
4.834,0.58
4.843,0.53
4.853,0.61
4.863,0.57
4.874,0.54
4.884,0.64
4.894,0.63
4.904,0.61
4.914,0.63
4.926,0.62
4.934,0.61
4.944,0.60
4.954,0.55
4.964,0.57
4.976,0.57
4.984,0.56
4.995,0.50
5.010,0.53
5.015,0.57
5.027,0.59
5.035,0.55
5.045,0.62
5.060,0.58
5.065,0.58
5.076,0.60
5.085,0.55
5.095,0.56
5.110,0.55
5.115,0.53
5.127,0.56
5.135,0.56
5.145,0.61
5.160,0.52
5.165,0.59
5.177,0.52
5.186,0.52
5.196,0.59
5.210,0.53
5.216,0.56
5.227,0.61
5.236,0.59
5.246,0.63
5.260,0.53
5.266,0.61
5.277,0.55
5.286,0.60
5.296,0.62
5.310,0.57
5.316,0.50
5.327,0.52
5.336,0.54
5.347,0.56
5.360,0.58
5.367,0.51
5.377,0.53
5.387,0.61
5.397,0.56
5.410,0.59
5.417,0.56
5.427,0.61
5.437,0.58
5.447,0.58
5.460,0.55
5.467,0.54
5.477,0.57
5.487,0.57
5.498,0.55
5.510,0.56
5.518,0.56
5.528,0.51
5.538,0.58
5.548,0.60
5.558,0.58
5.568,0.64
5.578,0.64
5.588,0.55
5.598,0.56
5.611,0.61
5.618,0.57
5.628,0.54
5.638,0.58
5.648,0.54
5.661,0.54
5.668,0.56
5.678,0.62
5.688,0.58
5.698,0.63
5.710,0.59
5.719,0.59
5.729,0.56
5.739,0.56
5.749,0.58
5.760,0.57
5.769,0.56
5.779,0.46
5.794,0.52
5.799,0.52
5.810,0.56
5.819,0.55
5.829,0.55
5.842,0.60
5.849,0.59
5.859,0.61
5.869,0.61
5.879,0.57
5.891,0.57
5.899,0.57
5.910,0.56
5.920,0.50
5.930,0.57
5.944,0.62
5.950,0.51
5.960,0.50
5.970,0.53
5.980,0.62
5.994,0.59
6.000,0.55
6.010,0.54
6.020,0.64
6.030,0.57
6.044,0.57
6.050,0.57
6.061,0.59
6.071,0.57
6.081,0.59
6.094,0.56
6.101,0.58
6.111,0.59
6.121,0.58
6.131,0.62
6.144,0.61
6.151,0.60
6.161,0.58
6.171,0.58
6.181,0.62
6.194,0.63
6.201,0.59
6.211,0.52
6.221,0.56
6.232,0.54
6.245,0.59
6.252,0.67
6.262,0.56
6.272,0.61
6.282,0.54
6.295,0.50
6.302,0.65
6.312,0.59
6.322,0.62
6.332,0.62
6.344,0.61
6.352,0.57
6.362,0.56
6.372,0.59
6.382,0.57
6.394,0.53
6.402,0.58
6.413,0.52
6.423,0.61
6.433,0.61
6.444,0.58
6.453,0.58
6.463,0.55
6.473,0.56
6.483,0.61
6.494,0.54
6.503,0.60
6.513,0.61
6.528,0.58
6.533,0.59
6.545,0.61
6.553,0.57
6.563,0.55
6.577,0.65
6.584,0.61
6.595,0.58
6.604,0.66
6.614,0.56
6.628,0.55
6.634,0.54
6.645,0.55
6.654,0.52
6.664,0.55
6.678,0.56
6.684,0.59
6.694,0.59
6.704,0.53
6.714,0.57
6.728,0.56
6.734,0.55
6.745,0.60
6.754,0.55
6.765,0.55
6.778,0.52
6.785,0.51
6.795,0.60
6.805,0.58
6.815,0.55
6.829,0.58
6.835,0.62
6.845,0.55
6.855,0.59
6.865,0.59
6.877,0.63
6.885,0.59
6.895,0.64
6.905,0.60
6.915,0.60
6.926,0.55
6.935,0.51
6.946,0.61
6.955,0.55
6.966,0.59
6.976,0.59
6.986,0.52
6.996,0.54
7.006,0.51
7.016,0.54
7.029,0.58
7.036,0.56
7.046,0.67
7.056,0.62
7.066,0.52
7.079,0.55
7.086,0.56
7.096,0.56
7.106,0.58
7.117,0.59
7.128,0.62
7.137,0.65
7.147,0.59
7.157,0.52
7.167,0.51
7.178,0.54
7.187,0.52
7.197,0.61
7.212,0.55
7.217,0.54
7.229,0.63
7.237,0.60
7.247,0.56
7.262,0.54
7.268,0.59
7.279,0.53
7.287,0.51
7.297,0.56
7.312,0.57
7.318,0.59
7.329,0.57
7.338,0.60
7.348,0.53
7.362,0.56
7.368,0.53
7.379,0.58
7.388,0.53
7.398,0.58
7.412,0.56
7.418,0.58
7.429,0.59
7.438,0.64
7.448,0.58
7.462,0.63
7.468,0.57
7.479,0.53
7.488,0.52
7.499,0.54
7.512,0.61
7.519,0.56
7.529,0.61
7.539,0.58
7.549,0.58
7.560,0.61
7.569,0.56
7.579,0.54
7.589,0.60
7.599,0.57
7.611,0.61
7.619,0.64
7.629,0.55
7.639,0.53
7.650,0.58
7.663,0.62
7.670,0.54
7.680,0.58
7.690,0.58
7.700,0.61
7.712,0.50
7.720,0.59
7.730,0.61
7.740,0.54
7.750,0.62
7.763,0.55
7.770,0.56
7.780,0.58
7.790,0.58
7.800,0.50
7.813,0.51
7.820,0.56
7.830,0.57
7.841,0.54
7.851,0.61
7.863,0.51
7.871,0.60
7.881,0.52
7.891,0.58
7.901,0.60
7.911,0.62
7.921,0.56
7.931,0.56
7.941,0.53
7.951,0.55
7.963,0.59
7.971,0.55
7.981,0.54
7.996,0.58
8.001,0.60
8.012,0.63
8.021,0.57
8.032,0.54
8.047,0.50
8.052,0.57
8.063,0.61
8.072,0.53
8.082,0.56
8.097,0.59
8.102,0.56
8.113,0.56
8.122,0.54
8.132,0.62
8.146,0.55
8.152,0.56
8.163,0.62
8.172,0.54
8.182,0.62
8.197,0.55
8.203,0.60
8.213,0.62
8.223,0.55
8.233,0.56
8.246,0.61
8.253,0.56
8.263,0.52
8.273,0.57
8.283,0.55
8.296,0.62
8.303,0.56
8.313,0.60
8.323,0.61
8.333,0.53
8.347,0.56
8.353,0.60
8.364,0.57
8.374,0.50
8.384,0.51
8.396,0.63
8.404,0.56
8.414,0.65
8.424,0.61
8.434,0.56
8.447,0.57
8.454,0.64
8.464,0.60
8.474,0.62
8.484,0.54
8.497,0.57
8.504,0.50
8.514,0.54
8.524,0.57
8.534,0.56
8.547,0.54
8.555,0.57
8.564,0.60
8.575,0.57
8.585,0.55
8.597,0.53
8.605,0.59
8.615,0.55
8.625,0.55
8.635,0.62
8.647,0.56
8.655,0.55
8.665,0.58
8.680,0.59
8.685,0.58
8.697,0.58
8.705,0.51
8.716,0.58
8.731,0.53
8.736,0.62
8.747,0.57
8.756,0.55
8.766,0.55
8.780,0.60
8.786,0.56
8.797,0.55
8.806,0.59
8.816,0.54
8.831,0.59
8.836,0.59
8.848,0.57
8.856,0.63
8.866,0.51
8.881,0.58
8.886,0.64
8.897,0.57
8.907,0.53
8.916,0.64
8.928,0.55
8.937,0.60
8.946,0.56
8.957,0.56
8.967,0.59
8.981,0.59
8.987,0.53
8.998,0.61
9.007,0.58
9.017,0.56
9.030,0.58
9.037,0.57
9.047,0.48
9.057,0.54
9.068,0.57
9.081,0.63
9.088,0.56
9.098,0.58
9.108,0.53
9.118,0.59
9.131,0.59
9.138,0.49
9.148,0.61
9.158,0.50
9.168,0.57
9.181,0.56
9.188,0.57
9.198,0.51
9.208,0.62
9.218,0.56
9.231,0.54
9.238,0.52
9.248,0.60
9.258,0.61
9.269,0.53
9.281,0.55
9.289,0.59
9.299,0.63
9.309,0.58
9.319,0.60
9.331,0.51
9.339,0.54
9.349,0.55
9.359,0.49
9.369,0.57
9.381,0.56
9.389,0.57
9.399,0.56
9.414,0.63
9.420,0.51
9.431,0.57
9.440,0.51
9.450,0.57
9.465,0.58
9.470,0.60
9.481,0.58
9.490,0.55
9.500,0.54
9.514,0.56
9.520,0.54
9.532,0.58
9.540,0.60
9.550,0.59
9.562,0.53
9.570,0.59
9.581,0.60
9.590,0.52
9.601,0.56
9.615,0.60
9.621,0.50
9.632,0.56
9.641,0.58
9.651,0.55
9.665,0.60
9.671,0.55
9.682,0.55
9.691,0.52
9.701,0.61
9.714,0.60
9.721,0.57
9.731,0.57
9.741,0.55
9.751,0.52
9.764,0.59
9.771,0.66
9.782,0.60
9.791,0.56
9.802,0.60
9.815,0.60
9.822,0.49
9.832,0.56
9.842,0.60
9.852,0.61
9.865,0.60
9.872,0.60
9.882,0.53
9.892,0.50
9.902,0.55
9.915,0.59
9.922,0.58
9.932,0.56
9.942,0.50
9.952,0.56
9.962,0.57
9.972,0.60
9.982,0.56
9.993,0.59
10.003,0.59
10.015,0.61
10.023,0.58
10.033,0.56
10.043,0.59
10.053,0.51
10.065,0.57
10.073,0.51
10.083,0.52
10.093,0.57
10.103,0.58
10.115,0.58
10.123,0.46
10.134,0.52
10.148,0.66
10.154,0.61
10.165,0.61
10.174,0.59
10.184,0.50
10.199,0.60
10.204,0.56
10.215,0.52
10.224,0.67
10.234,0.59
10.249,0.57
10.254,0.61
10.265,0.57
10.274,0.54
10.284,0.59
10.299,0.56
10.304,0.54
10.316,0.56
10.325,0.60
10.335,0.63
10.348,0.62
10.355,0.54
10.366,0.57
10.375,0.58
10.385,0.50
10.399,0.59
10.405,0.56
10.416,0.56
10.425,0.57
10.435,0.57
10.449,0.54
10.455,0.57
10.466,0.59
10.475,0.57
10.485,0.55
10.499,0.59
10.506,0.55
10.516,0.56
10.526,0.58
10.536,0.59
10.549,0.62
10.556,0.58
10.566,0.58
10.576,0.55
10.586,0.52
10.599,0.55
10.606,0.53
10.616,0.59
10.626,0.62
10.636,0.58
10.649,0.59
10.656,0.58
10.667,0.63
10.676,0.60
10.687,0.57
10.699,0.57
10.707,0.56
10.717,0.58
10.727,0.55
10.737,0.51
10.749,0.55
10.757,0.54
10.767,0.54
10.777,0.50
10.787,0.54
10.799,0.60
10.807,0.59
10.817,0.60
10.827,0.64
10.838,0.58
10.849,0.59
10.857,0.61
10.868,0.58
10.882,0.54
10.888,0.54
10.899,0.59
10.908,0.57
10.918,0.53
10.933,0.54
10.938,0.64
10.950,0.59
10.958,0.55
10.968,0.58
10.980,0.61
10.988,0.56
10.998,0.61
11.008,0.59
11.019,0.59
11.032,0.59
11.038,0.57
11.049,0.52
11.058,0.58
11.068,0.58
11.082,0.54
11.089,0.57
11.099,0.61
11.109,0.57
11.119,0.53
11.133,0.58
11.139,0.55
11.150,0.55
11.159,0.55
11.169,0.55
11.182,0.61
11.189,0.57
11.200,0.51
11.209,0.54
11.220,0.52
11.233,0.51
11.240,0.54
11.250,0.60
11.260,0.57
11.270,0.57
11.283,0.61
11.290,0.60
11.300,0.63
11.310,0.51
11.320,0.51
11.333,0.62
11.340,0.57
11.350,0.55
11.360,0.61
11.370,0.57
11.383,0.57
11.391,0.54
11.401,0.52
11.411,0.57
11.421,0.54
11.434,0.50
11.441,0.52
11.451,0.53
11.461,0.53
11.471,0.55
11.483,0.58
11.491,0.59
11.501,0.55
11.511,0.56
11.521,0.59
11.533,0.49
11.541,0.57
11.551,0.53
11.561,0.58
11.572,0.53
11.582,0.57
11.592,0.58
11.602,0.57
11.616,0.55
11.622,0.57
11.634,0.57
11.642,0.56
11.652,0.58
11.667,0.57
11.672,0.59
11.683,0.53
11.692,0.52
11.702,0.56
11.717,0.54
11.722,0.63
11.734,0.56
11.743,0.54
11.753,0.57
11.767,0.57
11.773,0.58
11.783,0.59
11.793,0.65
11.803,0.61
11.816,0.57
11.823,0.54
11.833,0.51
11.843,0.55
11.853,0.55
11.867,0.56
11.873,0.60
11.883,0.58
11.893,0.59
11.904,0.53
11.917,0.50
11.924,0.58
11.934,0.57
11.944,0.55
11.954,0.59
11.967,0.53
11.974,0.58
11.984,0.50
11.994,0.50
12.004,0.57
12.014,0.51
12.024,0.61
12.034,0.57
12.044,0.62
12.054,0.59
12.067,0.59
12.074,0.58
12.085,0.57
12.094,0.56
12.105,0.61
12.117,0.58
12.125,0.59
12.135,0.54
12.145,0.53
12.155,0.64
12.167,0.59
12.175,0.56
12.185,0.51
12.195,0.63
12.205,0.60
12.217,0.55
12.225,0.57
12.235,0.57
12.245,0.56
12.255,0.55
12.267,0.52
12.276,0.56
12.287,0.59
12.300,0.55
12.306,0.62
12.318,0.57
12.326,0.61
12.336,0.54
12.351,0.50
12.356,0.55
12.367,0.62
12.376,0.62
12.386,0.61
12.401,0.59
12.406,0.66
12.418,0.59
12.426,0.61
12.437,0.57
12.451,0.58
12.457,0.58
12.467,0.57
12.477,0.58
12.487,0.57
12.501,0.59
12.507,0.58
12.517,0.61
12.527,0.58
12.537,0.61
12.550,0.56
12.557,0.58
12.567,0.55
12.577,0.56
12.587,0.55
12.601,0.58
12.607,0.61
12.618,0.57
12.627,0.56
12.638,0.54
12.651,0.59
12.658,0.57
12.668,0.57
12.678,0.60
12.688,0.60
12.701,0.56
12.708,0.52
12.718,0.57
12.728,0.54
12.738,0.50
12.751,0.58
12.758,0.54
12.768,0.56
12.778,0.59
12.789,0.53
12.802,0.55
12.809,0.61
12.819,0.58
12.829,0.57
12.839,0.66
12.852,0.62
12.859,0.55
12.869,0.60
12.879,0.58
12.889,0.61
12.901,0.59
12.909,0.50
12.919,0.53
12.929,0.55
12.939,0.58
12.951,0.56
12.959,0.57
12.969,0.51
12.980,0.57
12.990,0.52
13.002,0.59
13.009,0.59
13.020,0.57
13.030,0.54
13.040,0.52
13.051,0.59
13.060,0.56
13.070,0.51
13.085,0.50
13.090,0.58
13.100,0.55
13.110,0.57
13.120,0.60
13.134,0.60
13.140,0.59
13.151,0.57
13.160,0.62
13.171,0.62
13.185,0.57
13.191,0.57
13.201,0.62
13.211,0.60
13.221,0.61
13.235,0.54
13.241,0.51
13.252,0.60
13.261,0.59
13.271,0.58
13.285,0.64
13.291,0.57
13.302,0.62
13.311,0.56
13.321,0.57
13.335,0.55
13.341,0.57
13.352,0.53
13.362,0.62
13.372,0.53
13.385,0.60
13.392,0.61
13.402,0.58
13.412,0.50
13.422,0.54
13.435,0.59
13.442,0.57
13.453,0.59
13.462,0.52
13.472,0.51
13.485,0.59
13.492,0.59
13.503,0.61
13.512,0.56
13.523,0.59
13.535,0.59
13.543,0.56
13.553,0.57
13.562,0.55
13.573,0.63
13.585,0.60
13.593,0.55
13.603,0.53
13.613,0.53
13.623,0.64
13.636,0.57
13.643,0.63
13.653,0.55
13.663,0.55
13.673,0.57
13.686,0.60
13.694,0.58
13.704,0.53
13.714,0.57
13.724,0.54
13.736,0.55
13.744,0.57
13.754,0.60
13.764,0.57
13.774,0.53
13.786,0.50
13.794,0.55
13.804,0.56
13.819,0.55
13.824,0.59
13.835,0.57
13.844,0.54
13.854,0.58
13.868,0.56
13.874,0.55
13.885,0.51
13.895,0.59
13.905,0.60
13.919,0.60
13.925,0.51
13.936,0.58
13.945,0.54
13.955,0.60
13.970,0.53
13.975,0.58
13.986,0.55
13.995,0.57
14.005,0.59
14.018,0.55
14.025,0.56
14.035,0.54
14.045,0.60
14.055,0.60
14.069,0.60
14.076,0.63
14.086,0.59
14.096,0.55
14.106,0.56
14.118,0.55
14.126,0.59
14.136,0.56
14.146,0.53
14.156,0.51
14.169,0.57
14.176,0.56
14.186,0.50
14.196,0.61
14.206,0.59
14.219,0.56
14.226,0.55
14.237,0.55
14.247,0.58
14.257,0.54
14.270,0.55
14.277,0.63
14.287,0.59
14.297,0.57
14.307,0.55
14.319,0.59
14.327,0.61
14.337,0.59
14.347,0.58
14.357,0.54
14.370,0.50
14.377,0.58
14.387,0.54
14.397,0.60
14.407,0.60
14.419,0.55
14.428,0.60
14.438,0.54
14.448,0.61
14.458,0.60
14.469,0.60
14.478,0.53
14.488,0.60
14.498,0.59
14.508,0.57
14.520,0.54
14.528,0.52
14.538,0.57
14.552,0.55
14.558,0.61
14.569,0.54
14.578,0.61
14.588,0.56
14.603,0.61
14.609,0.59
14.620,0.52
14.629,0.61
14.639,0.59
14.653,0.58
14.659,0.58
14.670,0.57
14.679,0.57
14.689,0.56
14.703,0.53
14.709,0.56
14.720,0.55
14.729,0.61
14.739,0.59
14.753,0.56
14.759,0.55
14.770,0.55
14.780,0.50
14.790,0.61
14.804,0.60
14.810,0.62
14.820,0.55
14.830,0.59
14.840,0.56
14.853,0.53
14.860,0.57
14.870,0.55
14.880,0.55
14.890,0.56
14.903,0.55
14.910,0.54
14.920,0.62
14.930,0.56
14.940,0.49
14.953,0.55
14.961,0.53
14.971,0.54
14.981,0.57
14.991,0.53
15.004,0.57
15.011,0.48
15.021,0.58
15.031,0.51
15.041,0.59
15.051,0.58
15.061,0.55
15.071,0.54
15.081,0.56
15.091,0.62
15.104,0.57
15.111,0.57
15.122,0.53
15.131,0.59
15.142,0.59
15.153,0.60
15.162,0.51
15.172,0.60
15.182,0.57
15.192,0.54
15.204,0.58
15.212,0.58
15.222,0.56
15.232,0.57
15.242,0.51
15.254,0.55
15.262,0.56
15.272,0.55
15.287,0.56
15.292,0.63
15.304,0.53
15.312,0.55
15.323,0.61
15.338,0.56
15.343,0.52
15.355,0.56
15.363,0.59
15.373,0.57
15.387,0.56
15.393,0.59
15.404,0.60
15.413,0.54
15.423,0.54
15.437,0.54
15.443,0.52
15.454,0.58
15.463,0.57
15.473,0.58
15.487,0.58
15.494,0.56
15.504,0.55
15.514,0.50
15.524,0.52
15.537,0.62
15.544,0.55
15.554,0.51
15.564,0.55
15.574,0.54
15.588,0.56
15.594,0.57
15.605,0.61
15.614,0.61
15.624,0.51
15.638,0.52
